name,resnet50_train_accuracy,resnet50_val_accuracy,resnet50_test_accuracy,inceptiontime_train_accuracy,inceptiontime_val_accuracy,inceptiontime_test_accuracy,vit_train_accuracy,vit_val_accuracy,vit_test_accuracy
ShapesAll,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0
SmallKitchenAppliances,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0
SmoothSubspace,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0
SonyAIBORobotSurface1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0
SonyAIBORobotSurface2,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0
Strawberry,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0
SwedishLeaf,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0
Symbols,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0
SyntheticControl,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0
ToeSegmentation1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0
ToeSegmentation2,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0
Trace,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0
TwoLeadECG,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0
TwoPatterns,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0
UMD,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0
UWaveGestureLibraryAll,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0
Wafer,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0
Wine,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0
WordSynonyms,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0
Worms,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0
WormsTwoClass,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0
Yoga,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0
